美國離台灣很「？ 」	遠	近	大	小
商店離我家很「？ 」，走幾步路就到了	近	遠	大	小
「遠近」是在描述什麼？	距離	大小	尺寸	音量
「偶爾」的「同義詞」是什麼？	有時	常常	從來沒有	總是
「有時」的「同義詞」是什麼？	偶爾	常常	從來沒有	總是
「很少」的「反義詞」是什麼？	經常	從來沒有	偶爾	永遠
他很「？ 」，都沒錢吃飯。	貧窮	富有	小氣	大方
他很「？ 」，有好幾間房子。	富有	貧窮	小氣	大方
「粗」的「反義詞」是什麼？	細	大	小	厚
「細」的「反義詞」是什麼？	粗	大	小	薄
餐廳裡生意很好，擠「？」了客人	滿	出	掉	完
太陽從東方「？」	升起	落下	前進	後退
太陽從西方「？」	落下	升起	前進	後退
「？」買十個的話，給你打九折	如果	要不是	早知道	因為
下列哪一個，不是「假如」的同義詞	假裝	假使	如果	假設
老師在「？」數學	學	唱	指	吃
學生在「？」數學	教	唱	指	吃
傳說用手「？」月亮，耳朵會被割掉	指	畫	推	打
他「？」地走出房門，不讓父母發現	偷偷	大聲	開心	忙碌
這個箱子很「？」，拿起來很吃力	重	輕	小	遠
氣球很「？」，飛上了天空	輕	重	細	粗
